taxroll_number,effective_build_year,net_area,basement_finished,has_fireplace,assessed_value,fully_complete,lot_size,walkout_basement,air_conditioning,site_coverage,lon,lat,valuation_group_residential.south
10031184,2005,165.1,1,1,730000,1,618.145,0,0,0.33,-113.56279,53.44483161,1
10031198,2005,149.9,0,1,678500,1,620.038,0,0,0.31,-113.5636401,53.44483472,1
10031185,2005,215.5,0,1,702500,1,531.005,0,0,0.27,-113.5627902,53.4449664,1
10031197,2005,203.6,0,1,702500,1,531.028,0,0,0.3,-113.5636403,53.44496501,1
10031186,2005,210,1,1,732000,1,556.633,0,1,0.29,-113.5627904,53.44508771,1
10031196,2006,234.1,1,1,833500,1,556.693,1,0,0.31,-113.5636405,53.44509082,1
10031187,2005,211.7,1,1,648500,1,553.836,0,0,0.26,-113.5627906,53.44521352,1
10031195,2005,255.7,1,1,835500,1,553.78,1,0,0.29,-113.5636407,53.44521663,1
10031188,2005,150.1,0,1,670500,1,531.374,0,0,0.36,-113.5627465,53.44535714,1
10031194,2005,221.5,1,1,774000,1,526.303,0,0,0.27,-113.5636841,53.44535607,1
10031189,2005,226.7,0,1,662000,1,745.372,0,0,0.21,-113.5626727,53.44556355,1
10031193,2006,230.8,1,1,901000,1,701.083,1,0,0.31,-113.5637428,53.44554949,1
10031190,2005,168,1,1,814000,1,969.441,0,0,0.23,-113.5628725,53.44565414,1
10031192,2005,165.5,1,1,794000,1,1021.651,0,0,0.21,-113.5635912,53.44565677,1
10031191,2005,240.6,0,1,756000,1,642.012,0,0,0.24,-113.5632146,53.44567786,1
10086129,2008,141.6,1,1,676000,1,545.035,0,0,0.35,-113.554163,53.44400445,1
10086128,2008,141.6,1,1,663500,1,451.134,0,0,0.42,-113.5543812,53.44400077,1
10086113,2008,140.9,1,1,666500,1,474.431,0,0,0.39,-113.554398,53.44446811,1
10086127,2008,140.9,1,1,663000,1,451.158,0,0,0.42,-113.5545753,53.4440015,1
10086114,2008,137.3,1,1,730500,1,517.904,1,0,0.39,-113.5546526,53.44442189,1
10086126,2008,140.9,1,1,665000,1,470.115,0,0,0.4,-113.5547853,53.44399779,1
10086115,2008,137.3,1,1,727500,1,512.2,1,0,0.39,-113.5547524,53.44453234,1
10086125,2008,130.7,1,1,650000,1,550.952,0,0,0.32,-113.5550597,53.44396511,1
10099838,2008,130.7,1,1,643500,1,500.701,0,0,0.35,-113.554838,53.44468991,1
10086124,2008,130.7,1,1,656500,1,587.373,0,0,0.3,-113.5552611,53.44399057,1
10099839,2008,131.8,1,1,674500,1,873.674,0,0,0.2,-113.5549862,53.44483424,1
10086123,2008,142,1,1,665000,1,459.266,0,0,0.41,-113.555348,53.44417062,1
10086118,2008,131.8,1,1,662500,1,735.39,0,0,0.24,-113.5553688,53.44479748,1
10086122,2008,141.9,1,1,672000,1,495.47,0,0,0.38,-113.5555277,53.44425665,1
10086119,2008,131.8,1,1,637000,1,617.769,0,0,0.28,-113.555656,53.44469745,1
10086121,2008,142,1,1,682000,1,588.703,0,0,0.32,-113.5556827,53.44435608,1
10086120,2008,142,1,1,717500,1,950.775,0,1,0.2,-113.5558138,53.44455426,1
10038417,2006,198.2,0,0,549000,1,423.264,0,0,0.31,-113.5627585,53.44950877,1
10038416,2005,175.5,0,1,511000,1,386.241,0,0,0.29,-113.5629383,53.44949595,1
10038366,2006,221.1,1,1,596000,1,400.71,0,0,0.34,-113.5632788,53.44994426,1
10038415,2006,169.3,1,1,529000,1,385.108,0,0,0.31,-113.5631038,53.44948757,1
10038414,2006,200.2,0,1,577000,1,384.534,0,0,0.34,-113.5632693,53.44948818,1
10038413,2006,174.3,0,1,513000,1,405.477,0,0,0.27,-113.5634393,53.4494888,1
10038367,2006,199.4,0,1,557000,1,410.597,0,0,0.32,-113.5634623,53.44994942,1
10038397,2006,197.9,0,1,545500,1,384.547,0,0,0.33,-113.5636094,53.44948493,1
10038368,2005,174.3,0,1,525000,1,414.251,0,0,0.29,-113.5636457,53.44994784,1
10038396,2006,196.2,1,1,562500,1,384.587,0,0,0.35,-113.563775,53.44948553,1
10038369,2005,183.2,0,1,534500,1,414.254,0,0,0.29,-113.5638291,53.44994851,1
10038395,2005,221.1,0,1,572000,1,405.613,0,0,0.33,-113.563945,53.44948615,1
10038370,2005,196.9,0,1,581000,1,414.261,0,0,0.31,-113.5640126,53.44994918,1
10038394,2006,196.4,0,1,575000,1,384.687,0,0,0.35,-113.5641151,53.44948677,1
10038371,2006,206.1,0,1,595000,1,414.275,0,0,0.33,-113.564196,53.44994985,1
10038393,2006,204.6,0,1,562500,1,404.516,0,0,0.35,-113.5642851,53.44948739,1
10038373,2006,195,0,1,557000,1,422.965,0,0,0.32,-113.5643858,53.44995054,1
